Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
"Tonight's the night! 

❤️🐻 Get your ears on and join us from 7.30pm on @BBCOne or @BBCiPlayer.
#ChildrenInNeed #CiN https://t.co/5QsVaKFpwD",Fri Nov 16 17:07:05 +0000 2018,0.3595,0.116,0.884,0.0,100
You've been getting ready for this all week. The CBS Tuesday night lineup starts now. https://t.co/AvK8sZQQnY,Wed Dec 05 01:00:00 +0000 2018,0.3612,0.143,0.857,0.0,1
"The holidays are a time for deer friends, which is why you can stream Robbie the Reindeer's ""Hooves of Fire"" and ""L… https://t.co/3KtQN3goMp",Tue Dec 04 23:37:49 +0000 2018,0.5106,0.21,0.701,0.089,2
"Oh, hey. The CBS Monday night lineup starts now. https://t.co/I035PnKLII",Tue Dec 04 01:00:00 +0000 2018,0.0,0.0,1.0,0.0,3
".@llcoolj will host #Home4Holidays - The 20th Anniversary, our annual holiday special raising awareness of adoption… https://t.co/qHSB5Xf9CP",Mon Dec 03 20:50:32 +0000 2018,0.6597,0.278,0.722,0.0,4
"RT @CBSAllAccess: Who's ready to see @JohnTheCho in #TheTwilightZone? 🙋‍♀️🙋‍♂️ Cho is joining @JacobTremblay and @Allison_Tolman in the ""Wu…",Mon Dec 03 19:36:44 +0000 2018,0.3612,0.122,0.878,0.0,5
"RT @CBSThisMorning: Only on @cbsthismorning, we'll announce nominees for the 61st #GRAMMY awards. We'll reveal the nominees in the top cate…",Mon Dec 03 18:44:59 +0000 2018,0.5859,0.202,0.798,0.0,6
"The thunder rolled into Notre Dame Stadium as @garthbrooks lit up the stage for 85,000 of his biggest fans. ⚡️ Watc… https://t.co/L3lPPmyOyr",Mon Dec 03 18:00:00 +0000 2018,0.0,0.0,1.0,0.0,7
Thank you all for watching! Goodnight. 🤠 #GARTHAtND https://t.co/mMiz2530vg,Mon Dec 03 02:59:00 +0000 2018,0.4199,0.218,0.782,0.0,8
RT @CoachHows112: #GarthatND is amazing!!!! I’m singing every song on my couch!,Mon Dec 03 02:44:14 +0000 2018,0.0,0.0,1.0,0.0,9
"RT @garthbrooks: You guys are treating the music like it’s timeless! Thank YOU!!! love, g #GARTHatND",Mon Dec 03 02:33:41 +0000 2018,0.8852,0.464,0.536,0.0,10
